hour,cloud_cover,temperature,grid_demand,grid_supply,market_index
15,56,33,62.5,72.0,0.88
9,38,28,76.9,81.0,0.92
23,72,25,49.4,50.0,1.02
4,35,39,45.0,50.0,0.92
18,73,29,95.4,50.0,1.9
12,57,40,77.2,93.0,0.83
7,76,24,73.5,54.0,1.35
7,1,36,81.1,66.5,1.22
13,100,30,67.0,50.0,1.36
10,4,37,72.5,114.0,0.59
9,16,25,70.3,92.0,0.77
0,32,39,46.0,50.0,0.92
22,24,26,50.5,50.0,0.99
0,12,39,49.0,50.0,0.95
2,5,35,36.7,50.0,0.71
19,93,33,100.7,50.0,1.99
16,15,23,57.6,78.3,0.71
6,94,36,86.3,50.0,1.7
16,57,34,67.3,64.3,1.02
0,75,23,30.9,50.0,0.61
9,86,35,85.7,57.0,1.48
20,20,22,90.7,50.0,1.86
18,77,29,95.3,50.0,1.93
21,69,39,102.6,50.0,2.06
7,67,26,73.3,55.5,1.29
6,78,31,79.5,50.0,1.64
15,28,22,56.9,86.0,0.64
0,2,22,31.1,50.0,0.57
17,34,26,97.2,61.0,1.63
16,67,25,53.0,61.0,0.87
12,7,32,59.1,143.0,0.49
16,44,24,59.9,68.7,0.88
9,17,20,80.2,91.5,0.92
8,68,37,86.5,60.7,1.44
5,60,20,30.5,50.0,0.62
12,45,32,66.0,105.0,0.66
22,29,39,63.0,50.0,1.28
6,18,34,85.5,50.0,1.67
22,12,26,48.4,50.0,1.0
13,87,21,59.5,60.8,0.95
13,35,37,72.9,104.2,0.66
4,41,21,28.0,50.0,0.55
10,66,29,59.3,72.7,0.77
21,41,24,91.2,50.0,1.86
4,43,21,26.8,50.0,0.58
7,95,24,74.2,50.8,1.44
21,33,21,94.6,50.0,1.94
4,8,34,36.6,50.0,0.7
17,59,24,97.9,56.8,1.7
17,11,24,95.4,64.8,1.42
23,64,25,58.5,50.0,1.21
9,49,25,72.4,75.5,0.93
14,92,29,56.4,55.3,1.01
1,36,21,32.6,50.0,0.68
3,81,28,29.1,50.0,0.56
2,69,36,31.5,50.0,0.63
7,49,28,76.3,58.5,1.32
20,95,21,94.5,50.0,1.89
22,73,22,54.4,50.0,1.04
11,85,31,62.2,62.5,0.97
3,98,33,35.1,50.0,0.71
19,33,22,95.5,50.0,1.95
12,44,40,74.7,106.0,0.71
20,5,27,88.9,50.0,1.76
12,77,22,58.7,73.0,0.79
17,56,35,102.1,57.3,1.81
22,46,32,54.5,50.0,1.1
12,100,30,64.8,50.0,1.3
14,61,41,81.6,76.0,1.08
17,49,39,102.5,58.5,1.71
3,43,25,29.1,50.0,0.57
23,51,41,63.0,50.0,1.26
11,66,41,79.7,78.3,1.05
9,31,30,79.5,84.5,0.94
0,12,27,34.6,50.0,0.65
16,67,31,61.2,61.0,1.05
17,51,28,96.3,58.2,1.66
20,85,37,108.7,50.0,2.14
5,93,32,30.1,50.0,0.64
15,92,34,66.8,54.0,1.22
17,69,25,94.0,55.2,1.66
16,2,24,64.7,82.7,0.75
9,99,38,87.1,50.5,1.75
10,67,29,56.4,72.0,0.81
7,27,21,76.6,62.2,1.2
6,97,22,76.5,50.0,1.48
19,12,22,90.7,50.0,1.83
10,34,32,58.3,94.0,0.59
15,47,36,66.8,76.5,0.91
3,91,40,43.6,50.0,0.92
21,46,31,100.3,50.0,2.0
17,6,27,96.6,65.7,1.43
6,68,40,80.9,50.0,1.64
6,53,25,76.9,50.0,1.55
14,61,35,67.0,76.0,0.84
22,76,39,63.2,50.0,1.3
2,9,38,41.5,50.0,0.82
9,98,29,73.1,51.0,1.47
19,91,23,96.7,50.0,1.95
19,8,31,96.3,50.0,1.96
9,78,38,86.9,61.0,1.4
2,1,31,30.1,50.0,0.64
8,26,40,85.1,74.7,1.11
1,81,23,29.1,50.0,0.59
22,23,28,50.6,50.0,0.99
13,37,36,68.4,102.5,0.64
15,37,21,62.9,81.5,0.78
13,48,22,59.7,93.3,0.66
16,94,24,55.9,52.0,1.09
22,61,31,51.7,50.0,1.05
13,14,28,61.2,121.7,0.49
6,40,22,79.5,50.0,1.56
14,54,28,58.9,80.7,0.69
19,65,27,93.3,50.0,1.87
23,8,32,53.5,50.0,1.07
1,92,31,30.2,50.0,0.62
18,48,35,106.6,50.0,2.11
9,41,31,81.7,79.5,1.07
21,74,39,108.4,50.0,2.19
0,56,23,29.6,50.0,0.64
12,73,22,55.9,77.0,0.69
9,1,22,75.8,99.5,0.76
6,43,38,86.5,50.0,1.74
12,77,23,54.2,73.0,0.72
2,60,33,37.0,50.0,0.69
18,17,37,105.5,50.0,2.11
16,74,20,56.4,58.7,1.0
21,20,22,101.3,50.0,2.02
15,88,33,68.5,56.0,1.23
23,42,35,57.7,50.0,1.16
10,76,39,72.6,66.0,1.08
20,90,23,95.1,50.0,1.87
8,57,20,79.8,64.3,1.25
3,94,33,36.0,50.0,0.67
4,67,25,29.5,50.0,0.58
15,33,37,73.0,83.5,0.91
18,18,24,94.9,50.0,1.86
22,61,36,59.7,50.0,1.23
5,74,29,29.5,50.0,0.61
14,51,33,68.0,82.7,0.78
16,34,21,64.5,72.0,0.93
2,78,41,50.5,50.0,1.02
9,75,28,77.7,62.5,1.2
16,85,23,58.4,55.0,1.11
8,97,33,80.7,51.0,1.56
0,80,29,36.5,50.0,0.7
19,21,29,94.0,50.0,1.85
10,66,36,67.9,72.7,0.97
18,45,38,109.2,50.0,2.17
4,75,31,31.2,50.0,0.64
11,66,28,53.8,78.3,0.66
15,51,38,68.1,74.5,0.93
5,37,36,41.7,50.0,0.85
12,81,31,59.2,69.0,0.87
12,10,33,61.4,140.0,0.52
18,67,20,93.2,50.0,1.9
10,62,21,60.5,75.3,0.82
12,56,41,81.0,94.0,0.85
1,12,28,23.9,50.0,0.54
19,60,41,107.9,50.0,2.18
19,24,21,92.7,50.0,1.83
7,80,22,72.7,53.3,1.36
22,56,22,55.9,50.0,1.1
21,90,37,106.4,50.0,2.1
23,81,28,51.7,50.0,1.0
7,95,32,80.1,50.8,1.59
7,93,23,77.1,51.2,1.54
15,18,31,60.2,91.0,0.62
3,76,35,32.2,50.0,0.61
4,87,28,32.1,50.0,0.68
6,99,38,87.4,50.0,1.73
21,82,35,104.9,50.0,2.14
18,45,35,105.9,50.0,2.15
10,53,33,65.6,81.3,0.78
9,13,26,74.2,93.5,0.8
15,40,24,62.6,80.0,0.8
13,52,36,72.6,90.0,0.85
22,32,23,51.1,50.0,1.06
1,69,37,41.3,50.0,0.8
21,40,32,100.7,50.0,1.98
10,82,38,73.0,62.0,1.21
20,19,39,111.9,50.0,2.27
18,88,23,95.2,50.0,1.95
16,73,41,81.7,59.0,1.41
10,30,24,62.9,96.7,0.62
20,6,21,95.0,50.0,1.9
21,91,37,106.2,50.0,2.08
0,23,32,36.9,50.0,0.78
14,34,37,73.8,94.0,0.78
16,75,23,59.5,58.3,1.03
22,71,40,64.1,50.0,1.25
14,16,33,67.0,106.0,0.64
11,88,30,58.6,60.0,0.97
23,28,38,59.8,50.0,1.21
22,95,33,54.9,50.0,1.1
5,67,24,28.4,50.0,0.54
0,76,40,45.1,50.0,0.86
21,86,21,95.5,50.0,1.9
7,69,41,90.8,55.2,1.7
13,82,32,60.4,65.0,0.98
8,24,27,79.2,75.3,1.03
18,54,28,96.9,50.0,1.89
18,73,31,100.7,50.0,2.04
17,57,28,88.2,57.2,1.52
0,2,24,28.3,50.0,0.59
8,33,32,80.5,72.3,1.13
5,80,24,28.3,50.0,0.56
21,45,37,105.8,50.0,2.13
11,50,29,59.9,91.7,0.66
5,97,37,38.9,50.0,0.74
12,18,36,67.7,132.0,0.53
8,29,35,82.0,73.7,1.13
17,100,24,92.9,50.0,1.81
2,2,38,44.0,50.0,0.93
8,52,33,75.8,66.0,1.2
23,61,37,59.9,50.0,1.19
4,60,24,32.5,50.0,0.65
10,39,31,61.8,90.7,0.71
9,36,29,73.7,82.0,0.86
20,63,30,93.0,50.0,1.84
1,72,36,35.6,50.0,0.74
22,89,29,49.0,50.0,0.97
8,22,25,78.3,76.0,1.0
18,66,34,97.2,50.0,1.95
5,54,26,31.9,50.0,0.62
14,40,26,67.2,90.0,0.75
10,48,37,64.8,84.7,0.8
22,42,31,48.0,50.0,0.98
21,32,37,106.3,50.0,2.12
3,1,32,28.8,50.0,0.57
16,53,27,54.1,65.7,0.87
12,14,24,61.2,136.0,0.49
6,65,40,88.5,50.0,1.8
7,53,41,84.0,57.8,1.44
16,24,41,77.0,75.3,1.05
12,16,41,75.1,134.0,0.56
23,54,28,55.1,50.0,1.11
6,83,35,82.5,50.0,1.67
12,38,36,68.8,112.0,0.59
15,7,39,78.7,96.5,0.87
21,73,38,104.9,50.0,2.14
13,30,23,65.1,108.3,0.62
19,43,38,109.6,50.0,2.18
14,94,35,65.6,54.0,1.23
9,3,28,78.3,98.5,0.83
11,75,23,56.5,70.8,0.85
0,49,24,27.3,50.0,0.52
3,59,36,40.2,50.0,0.82
